Suffolk, New York, 36103
Middlesex, Massachusetts, 25017
Clark, Washington, 53011
Kings, California, 6031
Tippecanoe, Indiana, 18157
Clay, Florida, 12019
Medina, Ohio, 39103
Gregg, Texas, 48183
Walker, Texas, 48471
Fremont, Colorado, 8043
Darke, Ohio, 39037
Delaware, Oklahoma, 40041
Barren, Kentucky, 21009
Van Zandt, Texas, 48467
Ottawa, Ohio, 39123
White, Indiana, 18181
McPherson, Kansas, 20113
Benton, Oregon, 41003
Dunklin, Missouri, 29069
Hart, Georgia, 13147
Delaware, New York, 36025
Oglala Lakota, South Dakota, 46102
Houston, Texas, 48225
Wright, Iowa, 19197
Greene, Georgia, 13133
Hamilton, Iowa, 19079
Washington, Alabama, 1129
Kusilvak, Alaska, 2158
Rock, Minnesota, 27133
Hood River, Oregon, 41027
Humboldt, Nevada, 32013
Schuyler, New York, 36097
Hancock, Georgia, 13141
McCook, South Dakota, 46087
Taylor, Georgia, 13269
Ritchie, West Virginia, 54085
Kearney, Nebraska, 31099
Adjuntas, Puerto Rico, 72001
Crook, Wyoming, 56011
Chugach, Alaska, 2063
Copper River, Alaska, 2066
